UDI,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,y
2310,L,299.1,308.6,1611,31.4,161,0
3067,M,300.1,309.2,1457,44.3,98,0
8946,L,297.4,308.2,1639,33.8,39,0
9681,L,299.1,310.1,1894,24.2,22,0
3476,L,301.8,310.7,1644,33.4,68,0
7201,L,300.0,309.9,1608,33.4,76,0
305,L,297.8,308.4,1737,27.5,146,0
35,M,298.8,309.1,1559,34.7,95,0
5002,M,303.6,312.7,2174,17.6,37,0
1749,H,298.4,307.7,1626,31.1,166,0
4726,M,303.4,311.8,1515,42.6,204,0
1474,M,298.5,309.5,1315,48.9,127,0
7911,M,300.8,312.2,1664,25.7,150,0
7955,L,301.0,311.9,1454,41.9,33,0
5360,M,303.3,312.6,1397,47.1,137,0
6075,M,301.0,310.8,1533,39.3,194,0
1737,L,298.4,307.9,1544,35.9,132,0
5627,H,302.7,312.1,1603,32.5,148,0
2719,L,299.5,309.1,1357,47.3,106,0
2338,L,299.2,308.4,1877,23.9,4,0
4251,L,302.6,311.0,1660,38.0,99,0
5024,M,304.0,313.0,1575,34.5,92,0
5482,L,302.6,312.0,1781,28.5,196,0
3680,L,302.2,311.5,1725,34.0,170,0
7894,L,300.9,312.7,1416,43.8,112,0
3845,L,302.4,311.1,1484,45.9,169,0
5448,L,303.1,312.8,1465,44.1,109,0
8020,L,301.0,312.1,1675,30.7,200,0
3871,L,302.7,311.8,1461,46.1,10,0
7788,L,300.3,311.5,1378,47.5,64,0
3459,L,301.5,310.4,1329,46.6,24,0
1912,M,298.1,307.8,1316,57.2,191,0
4382,L,301.9,309.6,1446,43.2,225,0
7888,L,300.7,312.4,1590,37.9,98,0
197,H,298.3,308.6,1432,49.5,91,0
4266,L,302.6,311.0,1424,38.0,144,0
4833,L,303.5,312.0,1436,45.1,32,0
4402,H,302.2,310.0,1468,43.6,38,0
417,L,297.4,308.5,1495,37.8,211,0
4770,H,303.6,311.9,1544,37.1,88,0
5675,M,302.2,311.7,1393,42.5,53,0
9596,H,299.0,310.1,1432,50.0,45,0
5842,M,301.3,311.1,1678,30.7,34,0
2587,L,299.0,308.7,1537,42.8,202,0
7835,L,300.0,311.4,1483,45.6,187,0
2195,M,299.6,308.9,1568,35.3,77,0
1349,L,298.7,310.2,1363,45.5,28,0
6209,M,300.7,310.6,1418,46.3,84,0
8358,L,298.5,309.5,1385,46.3,203,1
6572,M,301.3,310.6,1378,49.4,173,0
9542,M,299.5,310.8,1754,31.3,114,0
6105,M,300.8,310.8,1461,41.3,53,0
2337,L,299.2,308.4,1434,46.8,2,0
5415,L,302.6,312.3,1534,34.3,31,0
852,M,296.2,307.2,1389,48.6,7,0
4087,L,302.0,310.5,1567,36.1,124,0
754,L,296.8,308.0,1536,40.4,217,0
867,L,295.9,306.6,1678,26.7,53,0
3635,L,302.2,311.4,1499,37.7,55,0
1481,M,298.2,309.3,2056,18.7,144,0
1889,M,297.8,307.4,1902,24.3,129,0
2593,L,298.9,308.6,1539,45.4,4,0
483,L,297.3,309.0,1548,37.4,171,0
708,L,297.7,308.9,1838,27.3,99,0
5092,L,303.9,313.2,1345,48.2,77,0
5523,L,302.6,311.9,1453,39.1,84,0
7844,M,300.1,311.7,1400,48.5,205,0
6841,L,301.1,311.1,1799,21.7,206,0
6340,L,300.5,310.0,1451,48.6,208,0
464,L,297.4,308.7,2874,4.2,118,1
9600,L,299.0,310.1,1463,37.4,56,0
1637,L,297.9,307.8,1505,37.3,100,0
7120,L,301.0,310.5,1378,44.4,83,0
6010,L,300.6,310.6,1931,22.0,24,0
4126,L,302.1,310.6,1439,40.0,7,0
5098,L,304.2,313.4,1457,49.4,96,0
3125,L,300.1,309.4,1568,39.7,42,0
8514,M,298.2,309.5,1478,36.5,182,0
1524,L,298.3,309.0,1519,36.9,41,0
5193,L,303.9,313.1,1310,62.9,130,0
1778,H,298.6,308.2,1555,36.8,36,0
8474,M,298.6,309.8,1430,43.1,80,0
8815,L,297.2,308.4,1462,51.2,102,0
3908,M,302.3,311.2,1842,23.9,111,0
3816,L,302.2,310.7,1769,24.9,91,0
4600,L,303.1,311.1,1420,55.8,113,0
5236,M,303.7,312.9,1511,41.0,33,0
5296,L,303.8,313.2,1336,47.8,176,0
9896,L,298.8,309.4,1387,54.1,171,0
261,M,298.2,308.3,1522,49.1,22,0
80,L,298.8,308.9,1402,37.9,2,0
863,H,296.1,306.8,1645,31.0,41,0
5469,L,302.8,312.3,1764,29.9,162,0
2892,L,300.6,309.6,1682,30.7,78,0
4304,L,301.7,310.2,1435,48.1,12,0
9331,M,298.4,309.0,1507,36.1,191,0
3760,L,302.3,311.0,1412,47.0,164,0
4967,L,303.8,312.6,1793,28.1,170,0
6848,L,301.2,311.4,1757,28.0,6,0
6438,L,300.4,310.0,1282,66.1,40,0
6353,L,300.0,309.6,1496,38.8,27,0
8048,L,300.6,311.9,1463,38.2,41,0
4272,L,302.6,310.8,1470,41.2,156,0
9580,L,299.5,310.7,1589,33.5,5,0
1343,M,298.6,310.1,1596,33.0,15,0
3721,M,302.4,311.4,1508,41.2,60,0
3836,M,302.3,311.1,1435,43.1,149,0
8663,L,297.5,308.6,1514,36.9,134,0
1191,L,297.2,308.4,1460,42.1,41,0
324,L,297.8,308.5,1561,46.3,194,0
4919,L,303.3,312.2,1457,40.7,48,0
6192,H,301.0,310.9,1916,22.0,42,0
6893,L,301.0,311.6,1440,43.3,131,0
8966,L,297.1,307.9,1496,44.7,88,0
8822,H,297.4,308.7,1623,33.8,127,0
2915,H,300.6,309.6,1888,20.5,133,0
4212,L,302.1,310.7,1314,52.8,8,1
4456,H,302.4,310.1,1597,28.9,179,0
1328,L,298.8,310.2,1814,26.8,204,0
5325,M,303.4,312.8,1526,30.8,37,0
695,L,297.6,309.1,1394,50.0,62,0
1312,L,298.9,310.1,1587,30.2,162,0
604,L,297.9,309.8,1336,71.6,31,1
2645,L,299.8,309.4,1510,42.5,146,0
9729,L,298.8,309.8,1563,33.7,143,0
2251,M,299.2,308.4,1396,48.7,13,0
4922,L,303.4,312.3,1287,54.8,54,0
8796,L,297.3,308.4,1459,39.4,59,0
8806,M,297.4,308.6,1469,42.6,80,0
4161,M,302.0,310.4,1608,33.1,97,0
6521,M,301.2,310.1,1666,34.9,37,0
2341,L,299.1,308.1,1479,40.7,10,0
2388,M,299.2,308.5,1474,47.2,132,0
2679,L,299.8,309.6,1447,43.1,12,0
2360,L,299.3,308.5,1413,38.5,57,0
2507,M,299.2,309.1,1503,34.7,6,0
8669,L,297.5,308.8,1502,45.9,150,0
7121,L,300.9,310.5,2288,16.1,85,0
7703,M,300.7,311.7,1701,30.8,44,0
7918,L,300.9,312.1,1474,42.4,171,0
3454,L,301.5,310.4,1425,54.4,7,0
8502,L,298.4,309.7,1581,34.6,150,0
1919,M,298.1,307.9,1496,40.0,0,0
4452,L,302.5,310.3,1549,40.9,170,0
6845,M,301.3,311.4,1838,23.2,215,0
5890,M,301.4,311.0,1234,55.8,152,0
6136,L,301.0,310.9,1740,28.9,129,0
86,M,299.0,309.0,1804,26.8,17,0
6107,L,300.9,311.0,1432,48.1,59,0
789,M,296.9,308.1,1440,46.3,64,0
9025,L,297.4,308.3,1366,45.5,11,0
4442,L,302.5,310.2,1329,50.6,148,1
3323,L,301.5,310.5,1351,52.9,116,0
7449,L,300.3,311.8,1488,38.4,51,0
1683,H,297.9,307.4,1604,36.1,225,1
489,L,297.4,309.2,1584,42.8,186,0
661,M,297.7,309.2,1700,27.4,176,0
7468,H,300.3,311.6,1463,41.6,102,0
918,L,295.3,305.7,1475,51.0,187,0
3924,M,302.6,311.4,1718,31.2,154,0
5381,L,302.8,312.3,1494,37.5,198,0
5127,L,304.3,313.5,1802,25.4,170,0
9248,L,298.3,308.9,1695,30.7,174,0
6380,L,300.1,309.7,1485,45.9,100,0
1970,H,297.8,307.5,1631,31.3,124,0
2617,L,299.4,309.1,1207,66.5,66,0
1977,M,298.1,307.7,1419,47.4,142,0
8123,M,300.2,311.6,1533,46.4,24,0
4189,M,302.3,310.8,1611,31.8,169,0
7357,L,299.6,310.2,1333,51.2,40,0
283,M,298.1,308.1,1390,49.8,85,0
694,L,297.7,309.1,1477,38.3,60,0
7732,L,300.6,312.0,1566,30.1,128,0
2875,L,300.6,309.5,1471,49.6,29,0
5102,M,304.1,313.4,1518,42.4,105,0
6342,M,300.4,309.8,1421,47.2,0,0
6338,M,300.4,309.8,1435,43.6,203,0
6154,L,301.0,311.1,1236,64.4,177,1
7028,L,300.6,310.6,1508,34.8,62,0
18,M,298.7,309.2,1410,45.6,47,0
598,H,297.6,309.6,1428,46.6,13,0
2540,L,299.1,308.8,1413,42.1,86,0
4205,M,302.3,310.9,1523,43.2,210,0
7863,M,300.5,312.0,1382,54.1,27,0
724,M,297.4,308.9,1500,46.3,137,0
8972,L,296.9,307.6,1514,35.7,100,0
8144,L,299.7,310.9,1477,40.4,83,0
6612,H,301.5,310.5,1587,33.8,57,0
4102,L,301.9,310.4,1884,23.4,163,0
869,M,295.8,306.5,1514,37.7,60,0
5215,L,303.7,312.7,1572,37.2,192,0
1150,L,297.2,308.1,1446,38.5,164,0
5695,L,302.4,311.8,1508,45.7,108,0
8421,L,298.9,310.4,1546,37.7,159,0
6179,L,301.1,310.9,1282,67.9,10,1
5058,L,303.8,312.9,1367,49.9,192,0
2092,L,299.4,309.2,1433,42.1,22,0
7211,M,299.8,309.6,1331,50.2,98,0
3386,L,301.5,310.7,1466,43.6,56,0
4058,L,302.0,310.9,1495,38.6,52,0
4585,L,302.8,311.1,1550,32.3,76,0
1174,H,297.1,308.0,1559,38.8,229,0
6356,L,300.1,309.7,1481,37.9,34,0
9278,L,298.2,308.7,1447,48.4,51,0
5985,H,300.7,310.8,1346,52.0,193,0
561,L,297.5,309.4,1318,58.2,146,0
2148,L,299.4,308.9,1550,33.7,174,0
1253,L,297.5,308.8,1533,41.5,223,0
3063,L,299.9,309.0,1553,40.0,88,0
2246,M,299.3,308.4,1438,42.3,0,0
6856,M,301.1,311.3,1654,30.7,28,0
506,L,297.6,309.3,1610,35.0,6,0
7647,L,300.4,311.4,1936,23.9,131,0
7864,M,300.5,311.9,1511,44.5,30,0
8182,L,299.7,311.2,1835,23.7,183,0
7018,M,300.7,310.6,1474,37.0,33,0
7504,M,300.3,311.7,1646,28.9,198,0
8126,L,300.2,311.4,1452,47.8,34,0
6273,M,301.1,310.6,1429,52.7,35,0
8361,L,298.6,309.6,1540,35.8,5,0
3990,L,302.2,311.3,1602,32.8,120,0
56,L,298.8,309.1,1512,40.7,156,0
6490,M,300.7,309.8,1490,38.8,173,0
7956,M,300.9,311.9,1310,56.1,35,0
8146,M,299.7,310.9,1685,32.1,88,0
4173,L,302.2,310.6,1386,50.0,132,0
4535,L,302.4,310.2,1633,28.0,164,0
205,L,298.4,308.5,1741,32.8,112,0
6779,M,301.3,310.7,1819,25.5,46,0
2879,H,300.5,309.4,1502,34.3,40,0
945,M,295.7,306.3,1712,28.5,43,0
7227,L,299.7,309.6,1399,51.3,144,0
2575,L,299.5,309.3,1972,19.3,177,0
8313,M,298.8,310.0,1529,38.5,77,0
27,L,299.1,309.5,1512,39.0,75,0
3730,M,302.4,311.3,1312,61.5,85,0
4330,L,301.6,310.0,1566,30.3,79,0
228,L,298.3,308.5,1539,36.1,168,0
9363,M,298.0,308.5,1682,33.0,58,0
2037,L,299.0,308.7,1892,22.8,96,0
8981,L,297.0,307.6,1513,42.4,124,0
1518,M,298.2,308.9,1408,38.8,20,0
2379,L,299.1,308.2,1348,56.1,110,0
7100,M,300.7,310.2,1373,44.1,28,0
3033,M,300.6,309.8,1447,42.9,12,0
2773,L,299.9,309.4,1467,41.2,20,0
6537,L,301.3,310.5,1406,47.1,83,0
4910,L,303.5,312.4,1481,43.7,20,0
4021,L,302.1,311.0,1351,49.5,196,0
9612,L,299.0,310.2,1432,42.2,87,0
1738,L,298.4,307.9,1743,27.3,134,0
556,M,297.4,309.4,1539,42.2,134,0
9779,H,298.7,309.7,1311,54.5,52,0
6857,M,301.1,311.3,1836,22.8,31,0
3367,M,301.4,310.7,1692,32.3,5,0
5170,L,304.1,313.3,1470,39.9,70,0
9695,L,298.9,310.0,1559,33.4,58,0
7282,L,300.0,310.2,1675,29.7,64,0
9459,L,298.4,309.1,1417,40.6,121,0
5263,L,303.4,312.8,1449,43.9,94,0
9776,M,298.6,309.5,1684,27.8,44,0
9752,L,298.6,309.9,1615,28.8,199,0
7124,M,300.9,310.4,1576,40.4,92,0
7349,H,299.7,310.3,1462,40.4,19,0
5206,L,303.7,312.7,1468,43.3,168,0
2822,M,300.3,309.6,1419,42.5,137,0
4860,L,303.7,312.4,1535,38.6,107,0
255,L,298.0,308.2,1514,37.9,9,0
9509,L,299.2,310.4,1611,36.4,32,0
9638,L,299.2,310.3,1463,38.9,160,0
5521,M,302.6,312.0,1496,45.0,79,0
3309,L,301.4,310.4,1433,43.4,86,0
4379,M,301.9,309.6,1385,45.8,217,0
2919,M,300.6,309.5,1492,34.0,144,0
8170,M,299.8,311.2,1745,26.3,150,0
2286,L,299.4,308.7,1381,56.7,102,0
7363,L,299.5,310.0,1594,35.1,54,0
3782,L,302.3,310.8,1465,43.8,7,0
5313,L,303.6,312.9,1873,23.5,7,0
5005,L,303.7,312.8,1364,46.3,44,0
7214,M,299.8,309.8,1427,45.2,106,0
8664,L,297.5,308.6,1671,29.4,136,0
7477,L,300.2,311.5,1492,41.8,128,0
34,L,298.9,309.3,1665,32.5,93,0
1446,L,299.0,310.1,1618,29.2,62,0
3315,L,301.4,310.5,1489,43.5,98,0
1364,L,298.7,310.1,1433,54.6,66,0
3554,M,301.8,310.8,1618,37.8,59,0
7031,L,300.7,310.8,1772,27.3,69,0
3919,M,302.5,311.5,1358,52.7,139,0
8989,L,297.2,307.9,1825,24.6,142,0
4590,L,302.8,311.1,1721,30.0,87,0
3687,L,302.0,311.1,1406,50.5,187,0
435,M,297.5,308.5,1484,44.7,40,0
2763,L,299.8,309.2,1479,44.4,214,0
1584,L,298.2,308.4,1310,61.0,189,1
4124,M,302.1,310.6,1517,38.9,2,0
5908,H,300.8,310.4,1419,46.4,200,0
1787,L,298.4,308.2,1618,33.0,61,0
2495,L,299.1,308.8,1329,53.6,207,1
8586,M,297.4,307.9,1338,48.5,158,0
1544,L,298.4,308.9,1628,34.9,93,0
5592,L,302.5,312.0,1574,33.8,63,0
7680,L,300.7,311.7,1635,32.4,213,0
6889,M,300.9,311.4,1434,45.4,118,0
4307,L,301.6,310.0,1869,22.9,18,0
5903,L,300.9,310.6,1598,35.4,186,0
9777,M,298.6,309.6,1397,54.1,47,0
7741,L,300.5,312.0,1453,45.1,151,0
9518,L,298.9,310.1,1523,39.1,53,0
5145,L,304.4,313.7,1607,33.5,5,0
3776,H,302.5,311.1,1850,23.3,203,0
2052,M,299.4,309.2,1470,44.4,135,0
8427,L,299.1,310.5,1628,35.9,174,0
8875,L,298.1,309.3,1443,45.3,70,0
3564,M,301.8,310.7,1465,35.8,82,0
1815,L,298.1,307.7,1650,34.1,138,0
8045,L,300.7,311.8,1441,38.1,34,0
6653,H,301.5,310.4,1580,35.7,161,0
1418,L,298.7,309.9,1541,38.5,208,0
4187,M,302.2,310.6,1570,34.6,163,0
4258,M,302.6,311.0,1589,39.0,122,0
6401,L,300.1,309.7,1601,35.8,160,0
4338,L,301.6,309.9,1440,43.4,100,0
9473,M,298.7,309.4,1375,48.3,157,0
9378,H,297.7,308.3,1488,41.0,101,0
7445,L,300.2,311.7,1286,55.1,42,0
9412,L,298.0,308.5,1404,46.6,201,0
6450,L,300.6,310.2,1519,44.6,69,0
7623,M,300.6,311.6,1473,31.5,69,0
955,H,295.6,306.2,1414,42.5,69,0
6745,M,301.7,311.0,1298,58.1,168,0
2512,M,299.0,308.9,1526,41.1,20,0
621,M,298.3,310.1,1389,49.6,75,0
5386,H,302.9,312.3,1754,26.9,209,0
7302,L,300.1,310.4,1554,39.4,115,0
6299,L,301.1,310.5,1428,44.1,103,0
8277,L,298.8,310.5,1384,52.8,200,0
3696,L,302.2,311.3,1530,37.3,207,1
988,M,296.3,307.1,1534,33.8,151,0
9819,M,298.6,309.4,1407,45.1,176,0
9578,M,299.5,310.7,1364,49.5,0,0
8349,M,298.7,309.6,1452,42.7,180,0
9829,L,298.4,309.4,1385,50.0,201,0
9849,H,298.5,309.2,1568,40.6,39,0
3942,L,302.2,311.4,1987,19.9,200,0
9035,H,297.4,308.2,1585,46.2,37,0
2075,L,299.5,309.4,1602,31.5,193,0
2550,L,299.4,309.2,1489,42.3,114,0
2743,L,299.6,309.1,1369,51.4,164,0
9774,L,298.5,309.4,1560,37.9,37,0
6746,M,301.8,311.1,1395,44.6,171,0
5051,H,304.0,313.0,1701,30.4,171,0
8603,L,297.4,308.1,1729,31.7,204,0
7270,M,300.4,310.5,1540,33.4,32,0
3593,H,301.6,310.4,1369,45.4,156,0
3518,L,302.0,311.0,1550,35.2,184,0
593,H,297.5,309.5,1668,27.9,240,0
8035,L,300.7,311.8,1564,36.8,11,0
7982,L,301.0,312.3,1445,36.4,105,0
310,M,297.9,308.5,1449,40.8,157,0
1985,M,298.0,307.5,1387,45.5,166,0
2722,M,299.6,309.3,1553,32.4,112,0
6418,L,300.3,309.9,1540,39.9,203,0
8128,M,300.1,311.3,1650,33.8,38,0
4580,L,303.0,311.2,1374,48.2,65,1
9413,L,298.0,308.5,1702,26.7,203,0
3441,L,301.3,310.3,1460,41.5,197,0
7503,H,300.3,311.7,1655,29.9,193,0
7151,L,300.2,309.8,1401,49.3,163,0
6344,L,300.2,309.8,1827,23.0,6,0
2762,L,299.8,309.3,1299,65.1,212,1
9993,L,298.8,308.4,1484,39.2,8,0
9053,M,297.4,308.6,1901,22.1,81,0
2887,H,300.5,309.5,1635,34.2,62,0
5196,L,303.9,313.0,1551,36.8,140,0
351,H,297.6,308.3,1400,44.3,43,0
4090,M,301.9,310.5,1590,40.3,130,0
7253,H,300.2,310.4,1501,42.9,212,0
8538,L,298.6,309.5,1730,30.2,41,0
7934,L,300.8,311.8,1928,21.8,209,0
7706,L,300.5,311.5,1316,49.7,55,0
4635,L,303.0,311.2,1755,30.4,205,0
931,M,295.5,305.9,1453,47.3,9,0
2385,M,299.1,308.3,1506,38.0,125,0
2204,L,299.8,309.0,1614,30.8,100,0
3710,L,302.2,311.4,1754,26.9,33,0
6461,L,300.6,310.0,1313,52.9,93,0
2591,L,299.0,308.7,1396,48.6,0,0
5174,M,304.2,313.5,1739,28.1,80,0
3739,M,302.3,311.2,1454,43.8,112,0
3003,M,300.5,309.8,1555,38.9,166,0
372,L,297.5,308.4,1604,38.1,106,0
7658,L,300.5,311.6,1661,30.0,158,0
4230,M,302.2,310.8,1408,46.8,49,0
6917,M,300.9,311.3,1603,31.8,190,0
6257,L,301.0,310.6,1493,37.8,206,1
1483,M,298.1,309.1,1448,52.5,150,0
1101,H,296.8,307.5,1695,30.0,33,0
1716,L,298.2,307.8,1585,34.6,78,0
915,M,295.4,305.9,1518,40.6,178,0
9964,L,298.3,307.9,1435,39.9,143,0
1264,L,297.8,309.2,1400,56.9,34,0
313,L,297.9,308.6,1468,36.0,168,0
9814,L,298.3,309.1,1387,52.3,160,0
9737,M,298.9,310.0,1348,58.2,163,0
7807,L,300.0,311.5,1349,48.6,113,0
9505,L,299.2,310.3,1440,47.0,21,0
4965,L,303.9,312.7,1602,33.9,165,0
3080,L,300.1,309.3,1340,56.0,130,0
640,L,298.0,309.6,1403,51.3,122,0
437,L,297.3,308.3,1504,36.3,45,0
543,L,297.5,309.4,1803,24.7,98,0
3084,L,300.1,309.3,1712,28.5,141,0
8193,L,299.6,310.9,1229,65.2,209,1
3352,L,301.4,310.8,1680,31.4,185,0
1621,L,297.9,307.7,1492,43.7,59,0
8697,L,297.2,308.6,1413,49.8,12,0
3934,L,302.6,311.6,1576,34.7,182,0
9963,L,298.2,307.9,1429,49.4,141,0
7280,L,300.0,310.1,1465,40.9,60,0
8032,L,300.7,312.0,1550,32.4,5,0
3758,M,302.2,311.1,1516,33.7,158,0
8848,L,297.5,308.9,1443,43.5,0,0
2653,L,299.9,309.5,1772,23.5,167,0
4008,L,302.1,311.2,1369,50.8,164,0
4400,L,302.3,310.1,1653,29.7,34,0
7583,H,300.4,311.2,1489,45.3,180,0
352,M,297.6,308.4,1611,31.0,48,0
5696,L,302.4,311.8,1451,42.0,110,0
365,L,297.6,308.4,1407,55.2,86,0
9104,L,297.3,308.2,1490,41.0,16,0
9143,L,297.6,308.5,1678,34.2,114,0
680,L,297.8,309.2,1372,47.3,15,0
396,L,297.4,308.3,1571,37.7,162,0
3413,L,301.3,310.3,1313,55.6,127,0
8115,H,300.4,311.8,2496,13.5,5,0
4963,M,304.0,312.7,1456,51.2,160,0
7859,L,300.5,311.9,1350,51.7,18,0
2218,L,299.7,309.1,1347,55.3,139,0
2164,L,299.6,309.2,1422,39.8,219,0
3282,M,301.2,310.0,1445,45.6,18,0
4655,M,303.1,311.0,1510,47.6,16,0
394,M,297.5,308.4,1350,52.2,157,0
3489,L,301.9,310.9,1379,54.8,99,0
5033,M,304.0,313.1,1694,31.4,116,0
7491,M,300.4,311.8,1707,30.0,165,0
9474,L,298.7,309.5,1446,40.0,160,0
5139,M,304.3,313.6,1489,40.3,196,0
7133,L,300.5,309.9,1423,47.9,114,0
3000,L,300.5,309.7,1395,61.0,157,0
3857,M,302.4,311.2,1330,58.6,201,0
3954,M,302.3,311.4,1484,39.5,22,0
5481,H,302.7,312.1,1478,36.0,191,0
9222,M,297.8,309.0,1675,30.0,110,0
3146,M,300.5,310.0,1415,43.5,98,0
1731,M,298.3,307.8,1330,55.4,114,0
2270,L,299.3,308.6,1314,48.2,65,0
3340,L,301.6,310.9,1492,45.2,155,0
8801,L,297.4,308.5,1475,47.2,69,0
4176,L,302.3,310.7,1612,33.4,139,0
5774,H,301.6,311.2,1395,46.8,95,0
281,M,298.1,308.1,1456,43.7,80,0
8565,M,298.0,308.7,1614,30.7,106,0
1642,M,298.0,308.0,1555,37.0,111,0
6919,L,301.0,311.5,1559,31.8,195,0
7443,L,300.0,311.5,1601,36.9,35,0
9349,L,298.2,308.7,1436,49.1,26,0
6674,L,301.6,310.7,1380,51.8,216,1
9587,L,299.4,310.6,1348,54.5,22,0
7792,L,300.1,311.4,1418,47.7,73,0
4285,L,301.8,310.0,1493,40.3,185,0
571,L,297.7,309.7,1498,41.0,176,0
5724,M,302.3,311.8,1475,48.0,180,0
182,H,298.2,308.3,1824,24.2,49,0
1437,H,298.8,309.8,1510,44.2,35,0
1819,M,298.1,307.7,1435,40.9,147,0
5701,L,302.5,311.9,1497,41.6,123,0
3460,L,301.5,310.4,1270,54.2,26,0
1658,M,298.1,308.0,1374,48.8,156,0
1147,L,297.0,307.9,1529,42.2,157,0
9033,L,297.4,308.3,1723,28.8,33,0
9847,L,298.3,309.0,1339,58.8,35,0
9320,L,298.5,309.4,1911,21.5,164,0
7318,L,299.9,310.3,1638,29.1,152,0
8364,L,298.8,309.7,1582,45.0,11,0
2674,L,299.8,309.4,1480,40.9,2,0
881,M,295.8,306.3,1235,76.2,89,1
2011,L,298.6,308.3,1278,60.5,32,0
9667,M,299.1,310.3,1838,24.0,235,0
7397,L,299.7,310.6,1616,35.1,142,0
8327,H,298.6,309.5,1523,34.2,119,0
8300,L,298.7,310.0,1637,31.8,42,0
7806,L,299.9,311.4,1706,28.8,111,0
761,L,296.7,307.8,1505,39.4,236,0
6399,L,300.1,309.7,1351,58.2,155,0
8297,L,298.9,310.3,1436,39.0,32,0
3241,L,300.9,309.5,1612,35.2,124,0
1896,L,297.9,307.6,1344,54.3,151,0
9435,L,298.0,308.6,1626,33.3,50,0
5407,L,302.7,312.4,1360,47.8,11,0
2519,M,298.9,308.6,1425,49.6,35,0
8141,L,299.6,310.9,1658,28.0,76,0
4913,L,303.5,312.2,1511,37.1,27,0
1578,L,298.3,308.4,1484,43.4,172,0
3120,L,300.1,309.4,1858,23.6,26,0
6882,L,301.0,311.4,1573,37.6,103,0
1603,H,297.8,307.9,1600,33.5,13,0
1991,L,298.2,307.8,1423,48.1,183,0
2154,H,299.3,308.8,1397,45.4,191,0
9355,M,298.2,308.8,1607,31.9,39,0
7723,L,300.5,311.7,1409,54.7,104,0
4204,M,302.3,310.9,1558,31.9,207,0
5433,L,302.8,312.4,1392,46.2,70,0
3847,L,302.3,310.9,1403,47.2,173,0
5273,M,303.6,313.0,1396,38.2,117,0
5575,L,302.4,312.0,1305,49.1,16,0
9405,L,297.7,308.2,2007,19.3,181,0
57,L,298.8,309.1,1477,42.4,158,0
1768,M,298.3,307.7,1520,41.4,10,0
6660,L,301.3,310.3,1626,31.3,180,0
4714,L,303.5,311.8,1451,45.2,173,0
8083,H,300.1,311.5,1422,46.2,134,0
405,L,297.3,308.6,1297,45.9,184,0
8028,L,300.6,311.9,1425,44.9,224,0
6129,L,300.9,311.0,1499,38.0,111,0
4110,M,301.9,310.6,1475,47.8,179,0
7663,M,300.5,311.6,1658,30.4,170,0
6405,M,300.2,309.7,1183,61.4,170,0
2033,L,298.8,308.5,1444,42.2,83,0
2535,L,298.9,308.7,1729,26.6,73,0
1490,M,298.2,309.0,1723,26.6,168,0
7907,L,300.9,312.4,1372,51.0,142,0
3648,L,302.2,311.5,1427,43.8,88,0
3753,H,302.3,311.1,1455,40.3,145,0
7962,L,301.0,312.2,1264,59.0,57,0
3858,H,302.4,311.2,1506,40.8,204,0
1439,L,298.8,309.9,1482,39.1,45,0
6005,L,300.5,310.4,1761,26.5,12,0
830,L,296.5,307.3,1579,34.5,166,0
9361,L,298.0,308.6,1532,42.6,54,0
6387,L,300.2,309.7,1656,34.3,120,0
1357,L,298.6,309.9,1593,37.4,47,0
6596,M,301.5,310.7,1460,38.6,14,0
3341,M,301.5,310.8,1452,44.1,157,0
6854,L,300.9,311.1,1417,40.7,24,0
1300,M,298.7,309.9,1458,40.2,137,0
6358,L,300.2,309.8,1398,54.8,39,0
2245,M,299.3,308.4,1542,37.5,203,1
3603,M,301.7,310.6,1417,45.2,185,0
9195,L,297.9,308.9,1393,40.6,45,0
6160,L,301.0,311.0,1399,58.0,190,1
9072,L,297.0,308.1,1429,54.0,138,0
3686,M,301.9,311.1,1380,51.6,184,0
592,H,297.5,309.3,1525,41.7,235,0
8546,L,298.4,309.3,1806,27.6,64,0
2051,M,299.5,309.3,1675,29.2,132,0
3637,L,302.2,311.4,1449,46.5,60,0
7914,L,300.7,312.1,1395,41.9,157,0
2620,L,299.4,309.2,1569,40.8,73,0
2412,L,299.0,308.5,1559,38.1,194,0
947,L,295.6,306.2,1287,54.8,49,0
8531,M,298.5,309.3,1615,31.8,23,0
4762,H,303.7,311.9,1332,52.7,66,1
3495,L,301.9,311.0,1356,45.7,119,0
4697,L,303.4,311.6,1449,41.7,132,0
566,H,297.7,309.7,1570,35.8,160,0
8650,L,297.4,308.4,1328,61.8,98,0
5905,M,300.8,310.5,1330,59.0,190,0
9110,L,297.5,308.6,1513,39.7,32,0
2185,L,299.8,309.4,1475,43.4,51,0
1388,L,298.9,310.1,1823,26.1,131,0
231,L,298.3,308.6,1570,34.8,175,0
7775,L,300.3,311.5,1634,31.9,36,0
8676,H,297.3,308.6,1688,29.4,166,0
8098,L,300.3,311.7,1452,41.5,172,0
9605,H,299.0,310.2,1637,38.0,68,0
9448,M,298.1,308.9,1323,51.7,88,0
3254,L,301.1,309.6,1502,48.9,160,0
8906,L,297.3,308.6,1385,55.2,156,0
7866,L,300.5,311.9,1383,50.5,35,0
9657,L,299.0,310.1,1623,33.0,210,0
6336,M,300.4,309.8,1430,43.4,198,0
7644,H,300.4,311.4,1427,50.7,122,0
