UDI,Type,Air temperature,Process temperature
2458,L,299.0,308.6
2459,L,299.0,308.6
2460,L,299.0,308.6
2461,L,299.0,308.6
2462,M,298.9,308.6
2463,L,298.9,308.5
2464,L,298.9,308.5
2465,M,298.9,308.5
2466,L,298.9,308.6
2467,L,299.0,308.6
2468,M,298.9,308.6
2469,M,298.9,308.6
2470,L,299.0,308.7
2471,L,298.9,308.5
2472,L,298.9,308.4
2473,L,298.9,308.5
2474,M,298.9,308.5
2475,L,298.9,308.5
2476,L,298.9,308.5
2477,H,298.9,308.4
2478,L,298.9,308.5
2479,M,298.9,308.5
2480,L,299.0,308.5
2481,L,299.0,308.6
2482,L,299.0,308.6
2483,L,298.9,308.7
2484,M,298.9,308.7
2485,H,298.8,308.6
2486,L,298.8,308.6
2487,M,298.9,308.7
2488,H,298.9,308.6
2489,L,298.9,308.7
2490,H,298.9,308.7
2491,H,299.1,308.8
2492,L,299.1,308.9
2493,H,299.0,308.8
2494,M,299.0,308.8
2495,L,299.1,308.8
2496,M,299.1,308.8
2497,M,299.2,308.9
2498,M,299.2,308.9
2499,L,299.1,308.9
2500,M,299.1,308.9
2501,L,299.1,308.9
2502,M,299.1,308.9
2503,L,299.2,309.0
2504,L,299.2,309.0
2505,L,299.2,309.1
2506,L,299.2,309.1
2507,M,299.2,309.1
2508,H,299.2,309.1
2509,L,299.0,308.9
2510,L,299.0,308.9
2511,L,299.1,309.0
2512,M,299.0,308.9
2513,L,298.9,308.8
2514,L,299.0,308.7
2515,L,298.9,308.6
2516,L,298.8,308.5
2517,L,298.8,308.5
2518,L,298.8,308.5
2519,M,298.9,308.6
2520,L,298.8,308.6
2521,L,298.8,308.6
2522,L,298.8,308.6
2523,M,298.8,308.7
2524,L,298.8,308.7
2525,M,298.8,308.7
2526,M,298.8,308.6
2527,L,298.8,308.6
2528,L,298.8,308.5
2529,L,298.8,308.6
2530,M,298.8,308.6
2531,L,298.9,308.7
2532,M,298.8,308.5
2533,L,298.9,308.7
2534,L,298.8,308.7
2535,L,298.9,308.7
2536,L,299.0,308.8
2537,L,298.9,308.8
2538,H,298.9,308.7
2539,L,299.1,308.8
2540,L,299.1,308.8
2541,L,299.1,308.8
2542,H,299.1,308.8
2543,H,299.2,308.9
2544,L,299.3,309.0
2545,L,299.2,309.0
2546,M,299.2,309.0
2547,L,299.2,309.1
2548,L,299.2,309.1
2549,M,299.3,309.2
2550,L,299.4,309.2
2551,L,299.4,309.3
2552,L,299.3,309.2
2553,H,299.3,309.1
2554,L,299.3,309.1
2555,L,299.3,309.1
2556,L,299.3,309.2
2557,M,299.3,309.1
2558,M,299.4,309.1
2559,M,299.2,309.0
2560,L,299.3,309.0
2561,M,299.4,309.1
2562,L,299.4,309.2
2563,L,299.3,309.1
2564,L,299.3,309.1
2565,L,299.3,309.1
2566,L,299.4,309.1
2567,M,299.3,309.0
2568,L,299.4,309.1
2569,L,299.6,309.2
2570,H,299.5,309.2
2571,L,299.6,309.2
2572,M,299.5,309.2
2573,M,299.4,309.1
2574,L,299.5,309.2
2575,L,299.5,309.3
2576,L,299.5,309.3
2577,L,299.5,309.3
2578,L,299.5,309.4
2579,L,299.4,309.3
2580,L,299.3,309.1
2581,L,299.3,309.1
2582,L,299.2,309.1
2583,L,299.2,309.0
2584,L,299.2,308.9
2585,L,299.1,308.8
2586,M,299.0,308.7
2587,L,299.0,308.7
2588,L,299.0,308.7
2589,L,299.0,308.7
2590,L,299.0,308.7
2591,L,299.0,308.7
2592,L,298.9,308.6
2593,L,298.9,308.6
2594,H,298.9,308.5
2595,L,298.8,308.5
2596,M,298.8,308.6
2597,L,299.0,308.7
2598,L,299.0,308.7
2599,L,299.1,308.8
2600,M,299.2,308.9
2601,L,299.3,309.0
2602,L,299.3,309.1
2603,L,299.4,309.2
2604,M,299.3,309.2
2605,M,299.3,309.1
2606,L,299.4,309.2
2607,H,299.4,309.3
2608,L,299.4,309.3
2609,L,299.5,309.3
2610,L,299.4,309.2
2611,H,299.4,309.1
2612,L,299.4,309.1
2613,L,299.4,309.1
2614,M,299.3,309.1
2615,L,299.3,309.1
2616,L,299.3,309.0
2617,L,299.4,309.1
2618,L,299.4,309.1
2619,M,299.4,309.1
2620,L,299.4,309.2
2621,L,299.4,309.2
2622,M,299.5,309.3
2623,M,299.6,309.4
2624,M,299.6,309.4
2625,H,299.7,309.5
2626,L,299.7,309.4
2627,L,299.7,309.4
2628,M,299.8,309.6
2629,H,299.9,309.6
2630,L,300.0,309.7
2631,L,300.0,309.8
2632,H,300.0,309.7
2633,M,300.0,309.7
2634,L,300.1,309.8
2635,L,300.0,309.7
2636,H,299.9,309.6
2637,L,299.9,309.6
2638,L,299.9,309.6
2639,L,299.8,309.5
2640,M,299.8,309.4
2641,M,299.9,309.5
2642,H,299.8,309.5
2643,L,299.8,309.5
2644,M,299.8,309.4
2645,L,299.8,309.4
2646,H,299.9,309.5
2647,M,299.8,309.5
2648,L,299.8,309.4
2649,L,299.8,309.4
2650,M,299.9,309.5
2651,L,299.9,309.6
2652,L,299.9,309.5
2653,L,299.9,309.5
2654,L,299.9,309.5
2655,L,299.9,309.5
2656,M,299.8,309.4
2657,L,299.9,309.5
2658,M,300.0,309.5
2659,L,300.0,309.4
2660,H,299.8,309.3
2661,L,299.8,309.3
2662,M,299.9,309.4
2663,M,299.9,309.4
2664,L,299.9,309.3
2665,M,299.9,309.4
2666,L,299.8,309.4
2667,H,299.7,309.2
2668,M,299.8,309.3
2669,M,299.8,309.3
2670,H,299.7,309.3
2671,L,299.8,309.4
2672,M,299.7,309.3
2673,L,299.7,309.3
2674,L,299.8,309.4
2675,L,299.7,309.3
2676,L,299.7,309.3
2677,L,299.7,309.3
2678,L,299.8,309.5
2679,L,299.8,309.6
2680,L,299.8,309.5
2681,L,299.8,309.5
2682,L,299.8,309.5
2683,M,299.9,309.6
2684,L,299.8,309.5
2685,L,299.8,309.4
2686,L,299.8,309.4
2687,L,299.8,309.4
2688,L,299.9,309.4
2689,L,299.9,309.4
2690,L,300.0,309.5
2691,L,300.0,309.5
2692,L,300.0,309.6
2693,L,300.1,309.7
2694,M,300.1,309.6
2695,M,300.1,309.6
2696,L,300.0,309.5
2697,L,300.0,309.6
2698,L,300.0,309.6
2699,L,300.0,309.4
2700,L,299.9,309.4
2701,L,299.9,309.3
2702,L,299.9,309.2
2703,L,299.8,309.2
2704,M,299.8,309.2
2705,M,299.7,309.2
2706,L,299.7,309.2
2707,M,299.6,309.1
2708,M,299.6,309.0
2709,L,299.6,309.1
2710,L,299.6,309.1
2711,L,299.6,309.1
2712,L,299.6,309.1
2713,H,299.7,309.2
2714,M,299.6,309.2
2715,M,299.6,309.1
2716,M,299.5,309.0
2717,L,299.5,309.0
2718,M,299.5,309.1
2719,L,299.5,309.1
2720,L,299.5,309.2
2721,L,299.6,309.2
2722,M,299.6,309.3
2723,L,299.6,309.3
2724,L,299.7,309.4
2725,M,299.8,309.3
2726,L,299.8,309.4
2727,M,299.8,309.4
2728,L,299.7,309.3
2729,L,299.7,309.3
2730,L,299.7,309.3
2731,L,299.6,309.2
2732,M,299.7,309.2
2733,L,299.7,309.2
2734,L,299.7,309.2
2735,H,299.7,309.2
2736,L,299.7,309.2
2737,M,299.7,309.1
2738,M,299.7,309.1
2739,M,299.8,309.1
2740,L,299.8,309.2
2741,L,299.6,309.0
2742,L,299.6,309.0
2743,L,299.6,309.1
2744,L,299.6,309.1
2745,L,299.7,309.2
2746,M,299.7,309.1
2747,L,299.7,309.2
2748,L,299.7,309.2
2749,L,299.7,309.2
2750,M,299.7,309.2
2751,H,299.7,309.2
2752,L,299.7,309.1
2753,M,299.7,309.1
2754,L,299.7,309.1
2755,H,299.6,309.1
2756,L,299.7,309.2
2757,L,299.7,309.2
2758,L,299.8,309.2
2759,M,299.7,309.2
2760,L,299.7,309.1
2761,L,299.8,309.2
2762,L,299.8,309.3
2763,L,299.8,309.2
2764,L,299.8,309.2
2765,M,299.9,309.3
2766,M,299.9,309.4
2767,M,299.9,309.4
2768,L,300.0,309.5
2769,L,300.0,309.5
2770,M,300.0,309.6
2771,L,300.0,309.6
2772,L,299.9,309.5
2773,L,299.9,309.4
2774,L,299.9,309.4
2775,L,300.1,309.4
2776,L,300.1,309.4
2777,L,300.1,309.4
2778,L,300.1,309.4
2779,L,300.0,309.4
2780,L,300.1,309.5
2781,M,300.2,309.6
2782,L,300.2,309.5
2783,M,300.2,309.6
2784,M,300.2,309.6
2785,L,300.2,309.6
2786,L,300.2,309.5
2787,M,300.2,309.5
2788,M,300.3,309.6
2789,L,300.3,309.6
2790,H,300.3,309.5
2791,L,300.4,309.6
2792,H,300.4,309.6
2793,L,300.4,309.7
2794,L,300.3,309.6
2795,L,300.4,309.6
2796,M,300.3,309.5
2797,L,300.2,309.5
2798,M,300.3,309.6
2799,L,300.3,309.6
2800,L,300.3,309.6
2801,M,300.2,309.5
2802,M,300.2,309.5
2803,M,300.3,309.6
2804,L,300.2,309.5
2805,L,300.1,309.5
2806,L,300.0,309.4
2807,L,300.0,309.3
2808,M,299.9,309.3
2809,L,299.9,309.3
2810,L,299.9,309.2
2811,L,299.8,309.1
2812,L,299.9,309.2
2813,M,300.0,309.3
2814,L,300.0,309.3
2815,L,300.0,309.3
2816,M,300.1,309.4
2817,L,300.1,309.4
2818,L,300.2,309.5
2819,L,300.2,309.5
2820,L,300.2,309.5
2821,L,300.2,309.5
2822,M,300.3,309.6
2823,L,300.3,309.6
2824,M,300.3,309.5
2825,M,300.3,309.5
2826,L,300.3,309.4
2827,M,300.3,309.4
2828,L,300.4,309.4
2829,M,300.4,309.4
2830,L,300.3,309.3
2831,M,300.4,309.3
2832,M,300.3,309.2
2833,M,300.4,309.3
2834,L,300.3,309.2
2835,L,300.3,309.1
2836,L,300.3,309.2
2837,M,300.3,309.1
2838,L,300.3,309.1
2839,L,300.3,309.3
2840,M,300.4,309.4
2841,H,300.4,309.4
2842,L,300.3,309.4
2843,L,300.3,309.3
2844,L,300.3,309.2
2845,L,300.3,309.2
2846,L,300.3,309.2
2847,L,300.3,309.2
2848,L,300.4,309.3
2849,M,300.3,309.3
2850,L,300.4,309.3
2851,L,300.4,309.3
2852,L,300.5,309.3
2853,M,300.5,309.4
2854,M,300.5,309.3
2855,L,300.5,309.3
2856,L,300.5,309.3
2857,H,300.5,309.3
2858,M,300.4,309.2
2859,L,300.5,309.3
2860,L,300.6,309.4
2861,H,300.6,309.4
2862,L,300.7,309.5
2863,L,300.6,309.5
2864,L,300.6,309.4
2865,H,300.6,309.4
2866,H,300.7,309.7
2867,L,300.8,309.7
2868,H,300.7,309.6
2869,L,300.8,309.7
2870,L,300.8,309.7
2871,M,300.8,309.7
2872,M,300.7,309.6
2873,L,300.8,309.6
2874,H,300.6,309.4
2875,L,300.6,309.5
2876,M,300.5,309.4
2877,M,300.5,309.3
2878,M,300.5,309.4
2879,H,300.5,309.4
2880,M,300.6,309.4
2881,L,300.7,309.5
2882,M,300.6,309.6
2883,L,300.6,309.6
2884,L,300.6,309.5
2885,L,300.6,309.6
2886,M,300.5,309.5
2887,H,300.5,309.5
2888,M,300.5,309.5
2889,M,300.6,309.6
2890,M,300.7,309.7
2891,L,300.6,309.7
2892,L,300.6,309.6
2893,L,300.7,309.6
2894,M,300.7,309.6
2895,L,300.7,309.6
2896,M,300.7,309.6
2897,M,300.7,309.5
2898,M,300.6,309.5
2899,M,300.6,309.5
2900,L,300.6,309.4
2901,L,300.5,309.3
2902,L,300.6,309.4
2903,M,300.6,309.4
2904,M,300.7,309.5
2905,L,300.6,309.4
2906,L,300.6,309.4
2907,L,300.6,309.3
2908,M,300.6,309.4
2909,L,300.7,309.5
2910,L,300.7,309.6
2911,L,300.6,309.5
2912,M,300.7,309.5
2913,L,300.7,309.6
2914,L,300.7,309.6
2915,H,300.6,309.6
2916,L,300.5,309.5
2917,L,300.6,309.6
2918,L,300.6,309.5
2919,M,300.6,309.5
2920,L,300.6,309.6
2921,L,300.7,309.7
2922,L,300.8,309.8
2923,L,300.8,309.7
2924,M,300.7,309.7
2925,L,300.8,309.7
2926,M,300.7,309.6
2927,L,300.7,309.7
2928,M,300.7,309.6
2929,M,300.8,309.7
2930,M,300.8,309.7
2931,H,300.7,309.6
2932,L,300.8,309.7
2933,L,300.9,309.7
2934,M,300.8,309.7
2935,M,300.8,309.6
2936,M,300.8,309.7
2937,M,300.9,309.7
2938,L,300.7,309.6
2939,L,300.7,309.5
2940,L,300.9,309.7
2941,L,300.9,309.7
2942,M,300.7,309.6
2943,L,300.7,309.5
2944,H,300.7,309.5
2945,L,300.7,309.6
2946,H,300.7,309.6
2947,M,300.7,309.5
2948,L,300.7,309.5
2949,L,300.7,309.5
2950,M,300.7,309.5
2951,M,300.7,309.5
2952,L,300.7,309.5
2953,H,300.7,309.5
2954,L,300.7,309.5
2955,H,300.6,309.4
2956,M,300.7,309.5
2957,M,300.8,309.6
2958,L,300.8,309.6
2959,M,300.8,309.5
2960,M,300.7,309.4
2961,L,300.7,309.5
2962,L,300.6,309.4
2963,L,300.7,309.5
2964,M,300.7,309.6
2965,L,300.7,309.5
2966,M,300.7,309.5
2967,L,300.6,309.3
2968,L,300.6,309.4
2969,M,300.6,309.4
2970,L,300.6,309.4
2971,M,300.6,309.4
2972,M,300.7,309.5
2973,M,300.6,309.4
2974,M,300.6,309.3
2975,M,300.6,309.4
2976,H,300.5,309.4
2977,M,300.5,309.3
2978,L,300.4,309.3
2979,H,300.5,309.4
2980,L,300.5,309.5
2981,L,300.4,309.5
2982,H,300.4,309.4
2983,L,300.5,309.5
2984,L,300.6,309.6
2985,L,300.6,309.7
2986,L,300.7,309.8
2987,L,300.6,309.8
2988,M,300.6,309.8
2989,M,300.6,309.8
2990,L,300.6,309.8
2991,L,300.6,309.8
2992,M,300.5,309.7
2993,M,300.5,309.7
2994,M,300.5,309.8
2995,L,300.5,309.8
2996,L,300.5,309.8
2997,M,300.5,309.8
2998,L,300.5,309.8
2999,L,300.5,309.7
3000,L,300.5,309.7
3001,H,300.5,309.8
3002,L,300.5,309.8
3003,M,300.5,309.8
3004,M,300.6,309.9
3005,M,300.5,309.9
3006,L,300.5,309.9
3007,L,300.4,309.7
3008,L,300.4,309.7
3009,M,300.4,309.7
3010,M,300.4,309.7
3011,L,300.3,309.6
3012,M,300.2,309.5
3013,L,300.4,309.6
3014,L,300.5,309.6
3015,L,300.5,309.7
3016,L,300.5,309.7
3017,L,300.5,309.8
3018,L,300.5,309.8
3019,M,300.5,309.8
3020,L,300.5,309.8
3021,L,300.4,309.6
3022,L,300.5,309.8
3023,L,300.5,309.6
3024,L,300.4,309.5
3025,L,300.5,309.6
3026,L,300.5,309.6
3027,M,300.4,309.5
3028,L,300.5,309.5
3029,L,300.5,309.5
3030,L,300.4,309.5
3031,M,300.4,309.6
3032,M,300.5,309.7
3033,M,300.6,309.8
3034,M,300.6,309.7
3035,H,300.6,309.7
3036,M,300.6,309.7
3037,L,300.4,309.6
3038,L,300.5,309.7
3039,L,300.4,309.5
3040,M,300.3,309.5
3041,L,300.3,309.5
3042,L,300.4,309.5
3043,M,300.2,309.4
3044,L,300.3,309.5
3045,L,300.2,309.4
3046,L,300.2,309.4
3047,M,300.2,309.4
3048,L,300.2,309.4
3049,L,300.2,309.3
3050,L,300.1,309.2
3051,L,300.2,309.2
3052,L,300.2,309.3
3053,L,300.1,309.2
3054,H,300.2,309.3
3055,H,300.2,309.3
3056,L,300.1,309.2
3057,L,300.2,309.2
3058,L,300.1,309.1
3059,L,300.0,309.0
3060,M,300.0,309.0
3061,L,300.0,309.1
3062,L,300.1,309.1
3063,L,299.9,309.0
3064,L,300.0,309.1
3065,M,300.1,309.1
3066,M,300.1,309.2
3067,M,300.1,309.2
3068,L,300.1,309.2
3069,H,300.0,309.0
3070,L,300.0,309.1
3071,L,300.0,309.1
3072,L,300.0,309.0
3073,L,300.1,309.0
3074,L,300.1,309.1
3075,L,300.1,309.2
3076,M,300.1,309.2
3077,L,300.0,309.2
3078,L,300.1,309.3
3079,M,300.1,309.4
3080,L,300.1,309.3
3081,M,299.9,309.2
3082,M,300.0,309.3
3083,M,300.0,309.3
3084,L,300.1,309.3
3085,H,300.1,309.4
3086,L,300.1,309.2
3087,L,300.0,309.2
3088,M,300.0,309.1
3089,M,300.0,309.1
3090,H,300.1,309.3
3091,H,300.1,309.3
3092,L,300.0,309.3
3093,M,300.0,309.3
3094,L,300.0,309.3
3095,L,300.0,309.3
3096,M,299.9,309.2
3097,L,299.9,309.2
3098,M,299.9,309.2
3099,M,299.9,309.2
3100,M,299.9,309.1
3101,L,299.8,309.1
3102,H,299.8,309.0
3103,L,299.9,309.1
3104,L,299.8,309.1
3105,M,299.8,309.2
3106,L,299.8,309.1
3107,L,299.8,309.1
3108,M,299.8,309.1
3109,L,299.8,309.2
3110,L,299.9,309.2
3111,H,299.9,309.2
3112,L,300.0,309.2
3113,M,299.8,309.1
3114,M,299.9,309.1
3115,M,299.9,309.2
3116,L,299.9,309.2
3117,L,300.0,309.2
3118,M,300.1,309.3
3119,M,300.2,309.5
3120,L,300.1,309.4
3121,H,300.1,309.4
3122,L,300.1,309.4
3123,L,300.0,309.3
3124,H,300.0,309.4
3125,L,300.1,309.4
3126,L,300.1,309.4
3127,L,300.0,309.4
3128,L,300.0,309.5
3129,M,300.1,309.5
3130,L,300.1,309.6
3131,L,300.1,309.6
3132,L,300.1,309.5
3133,L,300.1,309.5
3134,H,300.2,309.6
3135,L,300.2,309.6
3136,L,300.4,309.8
3137,L,300.4,309.9
3138,L,300.4,309.9
3139,L,300.4,309.9
3140,H,300.4,309.9
3141,H,300.4,309.9
3142,L,300.5,310.0
3143,L,300.6,310.0
3144,H,300.6,310.0
3145,M,300.6,310.0
3146,M,300.5,310.0
3147,M,300.5,309.9
3148,M,300.4,309.7
3149,H,300.4,309.8
3150,H,300.4,309.7
3151,L,300.4,309.8
3152,L,300.5,309.8
3153,M,300.5,309.8
3154,M,300.5,309.9
3155,L,300.4,309.7
3156,L,300.5,309.8
3157,L,300.4,309.7
3158,M,300.4,309.7
3159,L,300.4,309.7
3160,H,300.4,309.8
3161,M,300.4,309.7
3162,L,300.4,309.8
3163,L,300.5,309.9
3164,L,300.4,309.8
3165,L,300.4,309.7
3166,L,300.4,309.6
3167,M,300.4,309.7
3168,L,300.4,309.7
3169,M,300.4,309.6
3170,M,300.4,309.6
3171,M,300.4,309.7
3172,L,300.4,309.6
3173,M,300.3,309.6
3174,L,300.3,309.6
3175,L,300.3,309.6
3176,L,300.3,309.6
3177,L,300.3,309.6
3178,M,300.2,309.5
3179,M,300.2,309.4
3180,L,300.1,309.3
3181,M,300.2,309.4
3182,L,300.2,309.4
3183,M,300.1,309.3
3184,L,300.1,309.3
3185,L,300.1,309.3
3186,L,300.1,309.3
3187,M,300.2,309.4
3188,M,300.2,309.4
3189,M,300.1,309.2
3190,L,300.1,309.1
3191,L,300.1,309.2
3192,M,300.1,309.2
3193,M,300.1,309.2
3194,L,300.0,309.1
3195,L,300.0,309.0
3196,M,300.0,309.2
3197,L,300.0,309.1
3198,L,300.0,309.1
3199,M,300.0,309.1
3200,H,300.1,309.1
3201,M,300.1,309.2
3202,L,300.2,309.1
3203,L,300.2,309.2
3204,M,300.1,309.1
3205,L,300.1,309.0
3206,M,300.1,308.9
3207,M,300.1,309.0
3208,M,300.2,309.0
3209,M,300.2,309.1
3210,L,300.3,309.2
3211,M,300.3,309.2
3212,L,300.3,309.2
3213,L,300.3,309.2
3214,L,300.4,309.2
3215,H,300.4,309.3
3216,M,300.5,309.4
3217,L,300.5,309.5
3218,L,300.6,309.5
3219,L,300.6,309.6
3220,M,300.6,309.6
3221,M,300.7,309.6
3222,L,300.6,309.6
3223,M,300.7,309.7
3224,H,300.6,309.5
3225,M,300.6,309.5
3226,L,300.6,309.4
3227,L,300.5,309.3
3228,M,300.5,309.3
3229,L,300.5,309.3
3230,L,300.6,309.4
3231,L,300.6,309.4
3232,L,300.7,309.3
3233,L,300.7,309.3
3234,H,300.8,309.4
3235,L,300.8,309.4
3236,L,300.8,309.4
3237,M,300.8,309.4
3238,M,300.9,309.5
3239,M,300.9,309.4
3240,L,301.0,309.5
3241,L,300.9,309.5
3242,H,300.9,309.5
3243,L,300.9,309.6
3244,L,301.0,309.6
3245,M,301.0,309.6
3246,M,301.0,309.6
3247,L,301.0,309.7
3248,M,301.0,309.8
3249,M,301.0,309.7
3250,L,301.1,309.8
3251,H,301.2,309.8
3252,L,301.1,309.6
3253,L,301.1,309.7
3254,L,301.1,309.6
3255,M,301.0,309.7
3256,L,301.0,309.7
3257,L,301.1,309.8
3258,L,301.2,309.9
3259,L,301.2,309.9
3260,M,301.2,310.0
3261,M,301.3,310.0
3262,H,301.3,310.1
3263,L,301.3,310.1
3264,L,301.3,310.0
3265,H,301.3,310.1
3266,L,301.3,310.1
3267,L,301.3,310.1
3268,L,301.3,310.0
3269,M,301.3,310.1
3270,M,301.3,310.0
3271,L,301.4,310.1
3272,M,301.4,310.0
3273,M,301.3,310.0
3274,M,301.3,309.9
3275,L,301.3,310.0
3276,H,301.3,310.0
3277,L,301.3,310.0
3278,L,301.3,310.1
3279,L,301.3,310.0
3280,L,301.2,309.9
3281,M,301.2,309.9
3282,M,301.2,310.0
3283,L,301.2,309.9
3284,L,301.2,309.9
3285,H,301.2,309.9
3286,L,301.2,309.9
3287,L,301.2,310.0
3288,M,301.2,310.1
3289,L,301.3,310.1
3290,M,301.2,310.1
3291,L,301.2,310.2
3292,M,301.2,310.1
3293,L,301.3,310.3
3294,M,301.2,310.3
3295,L,301.1,310.2
3296,L,301.1,310.2
3297,M,301.2,310.3
3298,L,301.2,310.3
3299,L,301.2,310.3
3300,L,301.3,310.5
3301,H,301.3,310.4
3302,L,301.3,310.5
3303,L,301.3,310.5
3304,L,301.2,310.4
3305,L,301.2,310.3
3306,M,301.3,310.4
3307,L,301.4,310.5
3308,M,301.4,310.5
3309,L,301.4,310.4
3310,L,301.3,310.4
3311,L,301.3,310.4
3312,L,301.3,310.4
3313,L,301.4,310.4
3314,L,301.4,310.4
3315,L,301.4,310.5
3316,M,301.5,310.6
3317,M,301.4,310.5
3318,L,301.5,310.5
3319,L,301.4,310.4
3320,L,301.4,310.4
3321,L,301.5,310.5
3322,L,301.5,310.6
3323,L,301.5,310.5
3324,L,301.5,310.5
3325,L,301.5,310.6
3326,L,301.5,310.6
3327,L,301.5,310.6
3328,M,301.5,310.6
3329,L,301.6,310.6
3330,L,301.6,310.7
3331,L,301.7,310.8
3332,L,301.7,310.8
3333,M,301.7,310.8
3334,M,301.6,310.8
3335,M,301.6,310.8
3336,L,301.7,310.9
3337,L,301.6,310.8
3338,L,301.6,310.8
3339,M,301.6,310.9
3340,L,301.6,310.9
3341,M,301.5,310.8
3342,H,301.4,310.7
3343,L,301.5,310.8
3344,M,301.5,310.8
3345,L,301.4,310.7
3346,L,301.3,310.7
3347,L,301.3,310.7
3348,L,301.3,310.6
3349,M,301.3,310.7
3350,L,301.4,310.7
3351,L,301.4,310.8
3352,L,301.4,310.8
3353,L,301.4,310.8
3354,L,301.6,310.9
3355,L,301.6,310.9
3356,L,301.5,310.8
3357,L,301.6,310.8
3358,H,301.6,310.7
3359,L,301.5,310.6
3360,L,301.5,310.6
3361,L,301.5,310.6
3362,L,301.5,310.6
3363,L,301.4,310.6
3364,L,301.4,310.6
3365,L,301.4,310.5
3366,M,301.4,310.6
3367,M,301.4,310.7
3368,H,301.5,310.7
3369,L,301.5,310.8
3370,L,301.5,310.9
3371,L,301.4,310.7
3372,L,301.4,310.7
3373,L,301.4,310.8
3374,L,301.4,310.7
3375,L,301.4,310.7
3376,M,301.4,310.6
3377,M,301.5,310.8
3378,H,301.5,310.8
3379,L,301.5,310.7
3380,M,301.4,310.7
3381,L,301.4,310.7
3382,L,301.3,310.6
3383,L,301.3,310.6
3384,H,301.4,310.6
3385,L,301.3,310.6
3386,L,301.5,310.7
3387,H,301.5,310.8
3388,M,301.6,310.8
3389,M,301.7,310.9
3390,M,301.5,310.7
3391,H,301.5,310.7
3392,L,301.5,310.7
3393,L,301.5,310.7
3394,L,301.5,310.6
3395,L,301.5,310.6
3396,L,301.4,310.5
3397,M,301.4,310.6
3398,L,301.4,310.6
3399,L,301.4,310.7
3400,L,301.4,310.7
3401,H,301.4,310.7
3402,M,301.4,310.7
3403,L,301.4,310.6
3404,L,301.3,310.5
3405,L,301.3,310.4
3406,M,301.3,310.4
3407,L,301.2,310.4
3408,L,301.2,310.4
3409,M,301.2,310.4
3410,M,301.2,310.4
3411,L,301.2,310.3
3412,L,301.3,310.3
3413,L,301.3,310.3
3414,L,301.3,310.3
3415,L,301.3,310.3
3416,L,301.4,310.4
3417,L,301.5,310.5
3418,L,301.6,310.6
3419,H,301.6,310.6
3420,L,301.5,310.5
3421,L,301.6,310.6
3422,M,301.5,310.5
3423,L,301.5,310.4
3424,L,301.4,310.4
3425,L,301.5,310.5
3426,M,301.5,310.5
3427,L,301.5,310.5
3428,L,301.6,310.6
3429,L,301.6,310.6
3430,H,301.5,310.5
3431,H,301.6,310.6
3432,L,301.6,310.7
3433,M,301.6,310.7
3434,M,301.6,310.6
3435,M,301.5,310.5
3436,L,301.5,310.5
3437,L,301.5,310.5
3438,L,301.5,310.5
3439,L,301.4,310.4
3440,L,301.4,310.3
3441,L,301.3,310.3
3442,L,301.4,310.4
3443,M,301.4,310.5
3444,L,301.5,310.5
3445,L,301.5,310.6
3446,M,301.6,310.6
3447,H,301.6,310.6
3448,L,301.7,310.6
3449,L,301.6,310.6
3450,L,301.7,310.7
3451,L,301.6,310.6
3452,L,301.6,310.6
3453,H,301.6,310.5
3454,L,301.5,310.4
3455,L,301.5,310.4
3456,H,301.4,310.3
3457,H,301.4,310.4
3458,M,301.5,310.4
3459,L,301.5,310.4
3460,L,301.5,310.4
3461,L,301.5,310.3
3462,H,301.6,310.4
3463,H,301.6,310.5
3464,L,301.6,310.5
3465,L,301.7,310.6
3466,M,301.8,310.7
3467,L,301.7,310.6
3468,L,301.8,310.7
3469,L,301.8,310.7
3470,M,301.8,310.7
3471,L,301.8,310.8
3472,L,301.8,310.7
3473,L,301.8,310.7
3474,M,301.8,310.8
3475,M,301.9,310.8
3476,L,301.8,310.7
3477,L,301.8,310.6
3478,L,301.8,310.7
3479,L,301.8,310.7
3480,M,301.8,310.8
3481,L,301.9,310.8
3482,L,302.0,310.9
3483,L,301.9,310.8
3484,H,301.9,310.8
3485,L,301.9,310.8
3486,L,301.9,310.8
3487,L,301.9,310.8
3488,M,301.8,310.8
3489,L,301.9,310.9
3490,L,301.9,310.9
3491,M,301.9,310.9
3492,H,301.9,310.9
3493,H,301.9,311.0
3494,M,301.9,311.0
3495,L,301.9,311.0
3496,M,301.9,311.0
3497,L,301.9,310.9
3498,L,301.9,311.0
3499,L,301.9,311.0
3500,L,301.9,311.0
3501,H,301.9,311.0
3502,H,301.9,311.0
3503,M,301.8,310.9
3504,L,301.7,310.8
3505,M,301.7,310.8
3506,L,301.6,310.8
3507,H,301.6,310.8
3508,M,301.7,310.8
3509,L,301.7,310.9
3510,L,301.8,311.0
3511,L,301.7,311.0
3512,L,301.8,311.0
3513,M,301.8,311.0
3514,M,301.9,311.1
3515,H,301.9,311.0
3516,M,301.9,311.1
3517,L,302.0,311.1
3518,L,302.0,311.0
3519,L,301.9,311.0
3520,M,301.9,310.9
3521,L,301.9,311.0
3522,L,301.9,311.0
3523,L,301.8,311.0
3524,L,301.8,310.9
3525,M,301.8,310.8
3526,L,301.8,310.9
3527,H,301.8,310.8
3528,M,301.9,310.9
3529,L,302.0,310.9
3530,L,301.9,310.9
3531,M,301.9,310.9
3532,M,301.9,310.9
