index,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet
2690,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2691,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2692,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2693,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2694,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2695,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2696,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2697,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2698,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2699,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2700,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2701,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2702,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2703,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2704,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2705,49.2,10.2,0.19,2.1,87.0,9.1,14.2,19.3,10.9,13.46
2706,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2707,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2708,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2709,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2710,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2711,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2712,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2713,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2714,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2715,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2716,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2717,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2718,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2719,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2720,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2721,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2722,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2723,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2724,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2725,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2726,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2727,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2728,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2729,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2730,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2731,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2732,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2733,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2734,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2735,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2736,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2737,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2738,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2739,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2740,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2741,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2742,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2743,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2744,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2745,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2746,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2747,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2748,49.2,10.2,0.19,2.1,87.0,9.1,14.2,19.3,10.9,13.46
2749,49.2,10.2,0.19,2.1,87.0,9.1,14.2,19.3,10.9,13.46
2750,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2751,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2752,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2753,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2754,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2755,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2756,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2757,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2758,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2759,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2760,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2761,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2762,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2763,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2764,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2765,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2766,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2767,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2768,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2769,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2770,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2771,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2772,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2773,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2774,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2775,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2776,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2777,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2778,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2779,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2780,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2781,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2782,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2783,39.9,10.9,2.17,2.2,16.5,6.9,12.3,17.8,9.3,7.44
2784,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2785,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2786,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2787,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2788,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2789,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2790,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2791,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2792,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2793,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2794,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2795,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2796,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2797,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2798,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2799,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2800,72.0,8.2,28.84,0.6,60.5,-8.0,-3.9,0.2,3.4,11.59
2801,83.1,11.0,0.0,2.9,88.8,15.6,21.1,26.6,19.3,16.77
2802,49.1,8.8,1.31,1.8,57.6,7.6,12.0,16.4,9.9,10.99
2803,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
2804,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2805,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2806,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2807,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2808,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2809,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2810,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2811,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2812,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2813,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2814,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2815,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2816,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2817,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2818,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2819,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2820,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2821,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2822,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2823,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2824,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2825,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2826,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2827,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2828,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2829,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2830,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2831,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2832,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2833,44.4,10.1,0.45,2.2,49.1,8.6,13.6,18.7,10.1,10.21
2834,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17.0,10.2,13.65
2835,44.4,10.1,0.45,2.2,49.1,8.6,13.6,18.7,10.1,10.21
2836,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2837,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2838,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2839,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17.0,10.2,13.65
2840,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2841,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2842,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2843,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2844,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2845,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2846,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2847,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2848,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2849,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2850,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2851,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2852,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2853,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2854,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2855,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2856,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2857,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2858,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2859,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2860,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2861,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2862,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2863,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2864,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2865,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2866,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83
2867,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59
2868,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59
2869,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2870,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2871,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2872,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2873,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2874,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2875,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2876,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2877,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2878,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
2879,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2880,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2881,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2882,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2883,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2884,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2885,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2886,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2887,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2888,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2889,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2890,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2891,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2892,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2893,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2894,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09
2895,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2896,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2897,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2898,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2899,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2900,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2901,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2902,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2903,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2904,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2905,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2906,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2907,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2908,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2909,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2910,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2911,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2912,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2913,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2914,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2915,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2916,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2917,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2918,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2919,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2920,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2921,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2922,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2923,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2924,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2925,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2926,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2927,61.1,8.4,5.23,1.5,114.6,5.1,9.3,13.5,8.7,14.33
2928,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2929,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38
2930,41.9,14.8,0.0,4.3,0.2,16.3,23.7,31.1,11.4,0.0
2931,41.9,14.8,0.0,4.3,0.2,16.3,23.7,31.1,11.4,0.0
2932,42.7,14.5,0.0,4.4,0.4,16.9,24.1,31.4,13.0,0.0
2933,42.9,15.3,0.0,4.4,0.1,17.0,24.6,32.3,11.7,0.0
2934,41.9,14.8,0.0,4.3,0.2,16.3,23.7,31.1,11.4,0.0
2935,42.9,15.3,0.0,4.4,0.1,17.0,24.6,32.3,11.7,0.0
2936,44.1,5.0,0.0,4.1,127.7,23.9,26.4,28.9,26.4,7.45
2937,49.7,6.4,0.0,4.0,106.8,23.2,26.4,29.6,26.2,6.9
2938,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2939,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2940,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2941,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2942,44.1,5.0,0.0,4.1,127.7,23.9,26.4,28.9,26.4,7.45
2943,49.7,6.4,0.0,4.0,106.8,23.2,26.4,29.6,26.2,6.9
2944,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2945,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2946,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2947,47.4,9.1,0.0,4.3,59.4,21.6,26.1,30.7,25.2,3.56
2948,48.6,6.9,0.0,2.6,44.5,14.5,17.9,21.4,15.3,1.64
2949,43.8,9.9,31.0,0.7,1.3,-13.8,-8.8,-3.9,0.7,1.22
2950,88.1,3.9,3.39,1.4,17.4,6.1,8.0,10.0,7.2,9.12
2951,35.0,9.6,30.12,1.5,0.0,-10.2,-5.4,-0.6,1.0,0.25
2952,28.8,9.4,31.0,0.3,0.8,-26.8,-22.1,-17.4,0.6,0.71
2953,50.5,9.1,26.96,1.4,6.5,-5.7,-1.1,3.5,1.9,4.71
2954,78.7,4.5,12.86,1.0,11.7,1.9,4.1,6.4,5.8,11.53
2955,48.6,6.9,0.0,2.6,44.5,14.5,17.9,21.4,15.3,1.64
2956,86.3,3.6,0.74,1.5,16.3,8.2,10.0,11.8,8.7,8.57
2957,86.2,3.3,0.0,1.6,13.1,10.3,11.9,13.6,10.1,8.51
2958,86.3,3.8,0.06,1.6,14.0,9.5,11.4,13.3,9.9,7.56
2959,88.6,3.8,0.52,1.5,16.7,8.5,10.4,12.3,8.9,8.3
2960,87.8,3.7,0.52,1.5,15.3,8.5,10.3,12.2,8.9,8.08
2961,22.5,12.0,0.0,2.5,8.7,13.8,19.8,25.8,15.2,0.21
2962,66.4,6.9,0.83,2.1,10.4,8.1,11.5,15.0,8.7,3.87
2963,42.5,10.5,0.0,3.5,8.0,18.3,23.5,28.8,22.6,1.0
2964,88.6,3.8,0.52,1.5,16.7,8.5,10.4,12.3,8.9,8.3
2965,86.2,3.3,0.0,1.6,13.1,10.3,11.9,13.6,10.1,8.51
2966,86.2,3.3,0.0,1.6,13.1,10.3,11.9,13.6,10.1,8.51
2967,86.2,3.3,0.0,1.6,13.1,10.3,11.9,13.6,10.1,8.51
2968,27.3,13.6,0.08,2.3,0.6,9.4,16.2,23.0,13.0,0.98
2969,36.9,13.6,0.0,2.4,1.3,10.8,17.6,24.4,15.5,0.14
2970,36.5,12.3,0.04,1.8,7.9,9.6,15.7,21.9,13.3,0.6
2971,33.9,11.7,0.0,1.8,6.4,10.2,16.0,21.9,13.4,0.65
2972,34.7,9.8,17.39,1.3,9.1,0.2,5.1,10.0,7.0,0.49
2973,36.5,12.3,0.04,1.8,7.9,9.6,15.7,21.9,13.3,0.6
2974,36.5,12.3,0.04,1.8,7.9,9.6,15.7,21.9,13.3,0.6
2975,33.9,11.7,0.0,1.8,6.4,10.2,16.0,21.9,13.4,0.65
2976,33.9,11.7,0.0,1.8,6.4,10.2,16.0,21.9,13.4,0.65
2977,36.5,12.3,0.04,1.8,7.9,9.6,15.7,21.9,13.3,0.6
2978,49.8,6.9,31.0,0.1,9.3,-23.4,-19.9,-16.5,1.2,5.95
2979,53.6,7.5,31.0,0.0,7.3,-26.9,-23.1,-19.4,1.1,8.68
2980,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2981,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2982,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2983,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2984,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2985,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2986,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2987,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2988,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2989,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2990,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2991,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2992,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2993,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2994,50.6,6.4,31.0,0.1,12.0,-21.5,-18.3,-15.1,1.2,5.45
2995,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
2996,32.0,13.6,12.33,1.9,41.9,2.1,8.9,15.7,7.9,20.83
2997,31.5,14.7,21.02,1.5,4.2,-1.2,6.2,13.6,6.3,1.04
2998,33.7,14.5,10.02,1.6,3.8,3.0,10.2,17.5,8.8,0.6
2999,27.5,13.0,0.66,1.8,4.3,8.3,14.8,21.3,11.4,0.69
3000,33.4,13.8,20.01,1.5,8.1,-0.8,6.1,13.0,5.4,1.51
3001,24.4,12.4,0.0,4.2,0.7,16.1,22.3,28.5,16.8,0.0
3002,13.6,13.3,0.0,3.7,0.3,16.3,22.9,29.6,15.4,0.03
3003,60.6,9.7,31.0,0.1,7.3,-26.0,-21.1,-16.3,1.1,6.09
3004,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3005,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3006,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3007,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3008,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3009,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3010,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3011,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3012,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
3013,72.4,5.8,1.91,1.8,10.0,7.1,10.0,12.9,8.5,5.03
