Function,Agency,Fund Type,FP Category,Fund,Subfund,Subfund Name,2019-20 Estimates,2018-19 Actuals,2017-18 Actuals,2016-17 Actuals,2015-16 Actuals,2014-15 Actuals,2013-14  Actuals,2012-13  Actuals,2011-12  Actuals,2010-11  Actuals,2009-10  Actuals,2008-09  Actuals,2007-08  Actuals,2006-07  Actuals,2005-06  Actuals,2004-05  Actuals,2003-04  Actuals,2002-03  Actuals,2001-02  Actuals,2000-01  Actuals,1999-00  Actuals,1998-99  Actuals,1997-98  Actuals,1996-97  Actuals,1995-96  Actuals,1994-95  Actuals
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21943,Energy Research,0,0,0,0,1024,3622,5181,4027,4734,2827,3928,3402,3248,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219DU,Spec Energy Con,0,0,0,0,0,0,0,0,0,0,0,45,700,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219EO,Energy Spec Stu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,986
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219EO,Energy Spec Stu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1283
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219EO,Energy Spec Stu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,4238
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219UC,Util Cons Activ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,16
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219UC,Util Cons Activ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97,105,35
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219UC,Util Cons Activ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,63
Economic Development and Government Oversight,"Energy Research and Development Authority, New York State",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22013,Long Island Pw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850
Economic Development and Government Oversight,"Financial Services, Department of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Federal,Fringe Benefits,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,15,679,200,83,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Federal,Indirect Costs,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,18,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,"1,186",254,335,1409,1431,929,534,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Federal,Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,589,935,277,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21970,Banking Deptmnt,33164,"42,943",32568,30296,23958,24820,25844,20406,25194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21970,Banking Deptmnt,1542,"2,169",1418,1381,1095,1208,1394,1061,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21970,Banking Deptmnt,12609,"13,180",13098,13405,11637,10146,10647,11666,11715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21970,Banking Deptmnt,50110,"55,743",53584,53160,50993,46010,45109,43905,45637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21973,Fin Svcs Seized,250,1,1,0,0,2,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21994,Insurance Dept,68660,"70,576",58356,56356,53478,51555,52208,51707,53413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,21994,Insurance Dept,58111,"64,179",57254,66703,80686,223476,228507,221513,217073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21994,Insurance Dept,3195,"3,687",2571,2627,2478,2599,2778,2754,4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21994,Insurance Dept,37301,"39,040",37733,39666,37664,39543,40898,41435,49540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21994,Insurance Dept,103642,"101,152",100562,98362,98007,91773,94530,92589,96695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22045,Settlement Enf,491,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Financial Services, Department of",Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22045,Settlement Enf,50,193,412,607,56,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Harlem Urban Development Corporation,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0
Economic Development and Government Oversight,Harlem Urban Development Corporation,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799
Economic Development and Government Oversight,Harlem Urban Development Corporation,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,1001
Economic Development and Government Oversight,Harlem Urban Development Corporation,General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2144
Economic Development and Government Oversight,High Technology and Development Program,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,10,17,28,24,21,14,821,2251,18436,28898,42251,15459,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,High Technology and Development Program,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,2000,"6,989",3822,0,274,1712,-4580,4265,13937,31954,3807,7560,2780,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,11145,68598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,General Fund,General State Charges,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,15000,15000,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,11767,85400,63651,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,138,528,699,754,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Federal,Non-Personal Service,Federal Health and Human Services Fund,25100,Federal HHS,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21994,Insurance Dept,0,0,0,0,0,0,0,0,0,44165,46048,35520,43662,37679,37565,32010,29673,22332,15925,17805,17811,14343,15805,15968,13998,13663
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,21994,Insurance Dept,0,0,0,0,0,0,0,0,0,216101,374224,10203,932,1217,769,7488,2396,1265,421,588,715,1204,270,183,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21994,Insurance Dept,0,0,0,0,0,0,0,0,0,3236,4794,4059,3626,3270,3583,2649,2975,2558,0,2322,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21994,Insurance Dept,0,0,0,0,0,0,0,0,0,42657,46445,53255,46243,53721,37936,32644,27220,28687,26639,23368,22816,22830,24863,21188,16939,18128
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21994,Insurance Dept,0,0,0,0,0,0,0,0,0,103431,105533,103532,90840,87382,81854,78874,73322,67683,63695,58868,54483,53164,49795,47958,44995,46114
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,219AK,Ins Voucher Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,16,46,40,20,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,219AK,Ins Voucher Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,219AK,Ins Voucher Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,20,52,3,0,0,0,0
Economic Development and Government Oversight,Insurance Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,219AK,Ins Voucher Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,142,132,156,81,0,0,0,0
Economic Development and Government Oversight,Lake Ontario Resiliency/Economic Development,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Long Island Power Authority,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6650,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10617,2317,2317,6200,3808,3200
Economic Development and Government Oversight,Olympic Regional Development Authority,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,70000,"42,700",38000,7500,7500,6900,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,2525,2825,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,"2,360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,3188,"3,188",188,188,463,463,407,429,694,581,2313,2097,2000,7986,8350,9050,7400,7471,7550,7552,3972,3962,1972,1972,2944,3166
Economic Development and Government Oversight,Olympic Regional Development Authority,General Fund,Personal Service,State Operations Account,10050,State Purposes,5338,"5,595",2548,2548,2548,2548,2522,2500,2849,2890,3090,4357,4426,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Fringe Benefits,US Olympic Committee/Lake Placid OlympicTraining Fund,23501,Lk Placid Train,0,31,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Indirect Costs,US Olympic Committee/Lake Placid OlympicTraining Fund,23501,Lk Placid Train,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Non-Personal Service,US Olympic Committee/Lake Placid OlympicTraining Fund,23501,Lk Placid Train,75,0,0,0,35,0,12,0,49,61,36,43,45,165,200,200,159,140,113,119,97,113,119,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Personal Service,US Olympic Committee/Lake Placid OlympicTraining Fund,23501,Lk Placid Train,0,0,0,0,45,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Non-Personal Service,Winter Sports Education Trust Fund,21700,Wintr Sports Ed,75,0,0,0,0,0,1182,2,4,2,2,21,22,99,0,32,15,15,66,121,200,100,100,2587,214,187
Economic Development and Government Oversight,Olympic Regional Development Authority,Special Revenue Funds - Other,Personal Service,Winter Sports Education Trust Fund,21700,Wintr Sports Ed,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Power Authority, New York",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,35500,"1,346",160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Power Authority, New York",Capital Projects Funds - Other,Capital Projects,New York State Canal System Development Fund,30300,NYSCSDF,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Power Authority, New York",Capital Projects Funds - Other,Grants to Local Gov.,New York State Canal System Development Fund,30300,NYSCSDF,0,0,83,1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,733,"1,233",1788,1640,547,1003,583,545,793,586,484,394,479,193,582,370,284,289,136,307,80,193,201,205,162,50
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,59,50,60,26,7,11,14,-6,30,48,48,67,28,10,3,2,6,7,0,57,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,34,484,638,310,124,111,223,48,147,77,80,154,147,145,201,158,207,269,465,150,139,265,330,249,480,68
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,1202,"1,307",1609,1433,1934,1381,955,1502,1151,1366,1063,928,956,747,1102,946,781,704,764,1199,80,755,1042,450,538,293
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Fringe Benefits,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,58,194,97,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Indirect Costs,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Non-Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,54,32,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Federal,Personal Service,Federal Miscellaneous Operating Grants Fund,253FS,Federal Stimulu,0,0,0,0,0,104,155,208,167,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,21901,Article VII Int,1010,218,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21901,Article VII Int,0,0,0,0,0,0,0,1,213,0,0,0,0,0,57,343,480,791,715,166,121,16,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,21971,Cable TV Accnt,869,"1,025",816,775,754,602,828,608,777,840,966,781,771,708,661,739,512,683,477,555,511,557,611,525,850,650
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,21971,Cable TV Accnt,47,44,36,35,35,33,46,33,55,54,79,68,62,56,57,72,59,63,0,61,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,21971,Cable TV Accnt,109,107,100,68,20,64,54,75,100,563,119,666,728,827,751,357,277,676,878,775,981,800,1176,851,837,1687
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,21971,Cable TV Accnt,1361,"1,332",1311,1371,1353,1381,1481,1629,1610,1726,1804,1702,1704,1571,1540,1710,1526,2019,1933,1821,1708,2019,1936,2004,2180,2562
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22011,Public Service,26919,"21,758",31579,24748,18238,20986,19320,16032,17961,19459,20534,20298,16760,16789,15191,13627,12002,11701,8446,10357,9386,11612,10881,12357,14920,8337
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22011,Public Service,1446,"1,577",1132,988,697,775,1207,889,1249,1250,1604,1908,1335,1323,1279,1296,1319,1086,0,1170,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22011,Public Service,7195,"8,076",8249,7430,7873,6864,6478,7936,7020,9109,9067,11201,9578,9790,10664,11588,9409,13709,11777,12039,13913,10177,11425,11563,14781,13405
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22011,Public Service,42153,"41,296",41556,40114,39505,38379,38909,36096,37139,40075,41465,40530,36407,36462,34799,33903,32989,35170,34866,33795,31924,34553,33300,34795,36110,40078
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Fringe Benefits,Miscellaneous State Special Revenue,22093,COCOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,99,64,48,32,23,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Indirect Costs,Miscellaneous State Special Revenue,22093,COCOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,6,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22093,COCOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,49,3,8,72,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Personal Service,Miscellaneous State Special Revenue,22093,COCOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5,294,269,157,103,86,3,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Non-Personal Service,Miscellaneous State Special Revenue,22172,Undrgrnd Sfty T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Public Service Department,Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22203,Article X Inter,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Regional Economic Development Program,Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,337,0,0,0,0,0,0,0,0,0,0,1614,34561,0,7000,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,Regional Economic Development Program,Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,300CC,CPF - Auth Bond,1583,"2,938",2030,4156,2787,3071,172,2921,6058,5248,1967,2637,2147,343,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,8000,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Capital Projects Funds - Other,Grants to Local Gov.,Capital Projects Fund,30000,Capital Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8000,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12602,3597,2512,11800,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,0,0,0,0,286,1006,150,156,18,0,0,18,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,666,1067,728,529,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Community Projects Fund,10254,Comm Proj DD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Community Projects Fund,10257,Comm Proj II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Community Projects Fund,10258,Comm Proj JJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,445,227,682,1904,862,400,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Grants to Local Gov.,Local Assistance Account,10000,Local Assistnce,0,0,0,0,0,0,0,0,0,0,0,0,0,6416,38302,42190,28944,26768,33524,10773,23599,24865,20080,18701,26512,26800
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Non-Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,41,754,808,710,758,1033,910,142,0,0,22,737,333
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",General Fund,Personal Service,State Operations Account,10050,State Purposes,0,0,0,0,0,0,0,0,0,0,0,0,0,345,2061,1952,1837,1980,1943,1643,138,0,-32,92,608,1156
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Special Revenue Funds - Federal,Grants to Local Gov.,Federal Miscellaneous Operating Grants Fund,25300,Fed Oper Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,5692,4128,5301,5431,5562,3369,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,219ZV,S T A Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Academic Research, Office of",Special Revenue Funds - Other,Grants to Local Gov.,Miscellaneous State Special Revenue,22025,Comm Svce Assis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,1195,1680,672,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",Capital Projects Funds - Other,Capital Projects,Capital Projects Fund,300CC,CPF - Auth Bond,0,0,0,0,0,0,0,0,0,5740,0,0,1889,2184,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",General Fund,Grants to Local Gov.,Community Projects Fund,10251,Comm Proj AA,0,0,0,0,0,0,0,0,0,33,220,219,461,736,0,0,0,0,0,0,0,0,0,0,0,0
Economic Development and Government Oversight,"Science, Technology and Innovation, NYS Foundation for",General Fund,Grants to Local Gov.,Community Projects Fund,10253,Comm Proj CC,0,0,0,0,0,0,0,0,0,0,19,0,183,209,0,0,0,0,0,0,0,0,0,0,0,0
